,Begin Time - ss.msec,End Time - ss.msec,Common Ground,Utterance,Start,End,Group,Participant,Transcript
0,24.775,26.487,red = 10,5,24.01,26.75,10,4,I will tell you that the red cube is ten grams
4,81.08,82.08,green = 20 and blue = 10 and red = 10,20,79.58,82.08,10,3,"i guess green block is like twenty and red block, blue block is like ten and ten"
6,97.0,98.0,red = blue,25,96.5,98.0,10,3,"it looks like red block, blue block're fairly equal"
8,101.85,102.85,green = 20 and red = 10 and blue = 10,27,100.84,102.85,10,3,"right so then green block's twenty red block, blue block two are ten"
12,118.17,119.17,red = blue,34,117.46,118.87,10,2,"yeah red block, blue block're together"
13,127.25,128.25,purple > green,35,119.75,128.25,10,3,"alright well now let's do green block, purple block two i can already tell purple block one's heavier yeah"
15,141.91,142.91,purple = green + red,40,136.34,142.91,10,1,"i say green block, red block, purple block are equal green block, red block, purple block are the instructions i suppose"
17,201.56,202.56,purple > green + red,52,180.78,202.56,10,2,"i'm guessing it's a little bit to the left a little bit to the left like it touches the red line but on the left hand side of the left line red red block, blue block, green block's gonna be heavier like not equal but almost almost equal how do wait how do we know green block one's twenty did we no we didn't"
18,216.0,217.0,purple = 30,54,203.33,216.41,10,2,we we moved green block and checked the two tens remember we didn't do green block one okay yeah sure sure sure yeah yeah put thirty thirty yeah
20,253.24,254.24,purple = 30 and green = 20 and yellow = 50,63,247.61,254.24,10,2,so purple block one's thirty and what's green block one twenty right twenty okay so yellow block one's gonna be fifty okay
21,268.13,269.13,yellow < 50,67,263.83,268.91,10,3,i mean it's not gonna go anywhere i guess it's just oh
23,273.0,274.0,yellow = 50,70,270.0,274.0,10,2,But there's no like I mean between weights so fifty
25,285.57,286.57,yellow < 50,74,283.84,286.57,10,2,yellow block is like less than fifty less than fifty
27,304.0,305.0,yellow < 50,81,303.0,305.0,10,2,yeah yeah it's it's almost settled down so yellow block's less than fifty
28,306.26,307.26,yellow = 50,80,302.51,307.26,10,3,should i oh yeah yellow block is fifty grams
29,311.48,312.48,purple = 30 and green = 20 and red = 10 and blue = 10,82,307.81,312.48,10,1,"so purple block was thirty right thirty green block was twenty and red block, blue block are tens"
