,Begin Time - ss.msec,End Time - ss.msec,Common Ground,Utterance,Start,End,Group,Participant,Transcript
0,24.42,27.72,red = 10,5,24.42,27.72,1,4,And we will tell you that this red cube on top is ten grams
1,80.52,81.67,red = 10,24,78.08,80.58,1,1,ok well red block would be nine minus ten
2,95.19,97.17,red = blue,30,95.19,97.17,1,3,"red block, blue block seems pretty balanced"
3,99.78,102.03,blue = 10,31,97.56,102.03,1,1,yeah ok so now we know that blue block is also ten
4,112.42,112.72,purple > 20,36,110.16,114.24,1,1,And then see if there's thats twenty which is not
5,112.74,113.76,purple != 20,36,110.16,114.24,1,1,And then see if there's thats twenty which is not
6,127.35,129.19,green = 20,41,127.35,132.0,1,2,ok so green block one is probably twenty ten ten twenty
7,129.47,131.98,red = 10 and blue = 10 and green = 20,41,127.35,132.0,1,2,ok so green block one is probably twenty ten ten twenty
8,140.73,142.81,purple = 30,47,140.73,145.89,1,1,Ooh its looking like thirty
9,181.08,182.28,yellow > purple + red + blue,57,174.54,185.08,1,2,"yeah yeah the blue dark blue one is thirty purple block's the larger one purple block, red block, blue block's slightly heavier yeah"
10,207.06,210.87,red = 10 and blue = 10 and green = 20 and purple = 30,65,207.06,210.87,1,1,"yeah im thinking that red block, blue block, green block, yellow block, purple block's ten ten twenty thirty"
11,238.04,239.92,yellow < 50,73,234.27,239.82,1,1,"thirty fourty fifty correct and purple block, green block's still heavier than yellow block thing"
12,265.5,268.13,yellow = 50,81,268.08,272.58,1,3,yeah fifty so we say yellow is fifty
13,23.52,26.76,red = 10,3,23.52,32.73,2,4,And we can tell you that that red cube right there is ten grams yep and you're going you're going to flip the piece of paper um
14,88.98,91.58,red = blue,15,88.98,91.58,2,1,"needle goes over the red line that means red block, blue block're probably equal"
15,104.08,106.23,blue = 10,20,104.08,106.23,2,1,so blue block one is probably ten grams too
16,124.68,127.02,green = red + blue,28,124.68,127.02,2,2,and that looks like it might be about even
17,144.92,149.08,green = 20,31,141.27,146.91,2,2,well on the first go through i noticed how it bounced twice and actually get some momentum ok so then
18,152.31,153.75,red = 10 and blue = 10,34,152.31,153.75,2,1,The first two are ten
19,158.13,164.17,green = 20,37,158.13,164.17,2,2,so knowing that uh oh sorry the green one was yeah
20,192.69,195.87,purple = 30,42,192.69,195.87,2,1,So you know twenty plus ten thirty probably
21,221.4,225.41,purple = 30,47,221.4,225.41,2,2,i guess and there's no increment so five so we could probably just go with thirty on purple block
22,237.51,241.77,yellow > purple,52,237.51,241.77,2,1,Which is too much so we'll put twenty right
23,247.95,250.17,green = 20 and purple = 30,53,247.95,250.17,2,2,"so purple block, green block's the twenty and the thirty"
24,255.36,258.01,yellow < green + purple,54,255.36,258.01,2,2,it's leaning towards one side a bit much
25,264.3,268.65,yellow > blue + purple,56,264.3,268.65,2,1,Oh not enough so probably
26,271.92,275.16,yellow = 50,59,271.92,275.16,2,2,Oh yeah the twenty and the thirty so we'll go with the fifty
27,33.39,38.04,red = 10,2,33.39,38.04,3,4,We will tell you that the weight of the red cube is ten grams
28,142.38,145.07,red = blue,16,144.5,147.27,3,1,"i think red block, blue block're the same weight yeah"
29,212.13,214.16,green = 20,31,212.13,214.16,3,1,sufficient to say green block one's probably twenty or
30,238.47,240.45,purple = 30,36,238.47,240.45,3,2,the purple one is thirty
31,269.35,272.58,green = 20 and purple = 30 and yellow = 50,46,269.35,272.58,3,3,green is twenty and purple is thirty so yellow block weighs to fifty
32,277.53,279.75,green = 20,48,277.53,279.75,3,3,yeah i mentioned here green is twenty
33,279.77,281.42,yellow < green + purple,49,277.92,281.43,3,2,it's leaning more this side so
34,285.18,287.82,yellow < green + purple,50,285.18,287.82,3,2,it's leaning more to the side
35,314.1,315.58,yellow != 10,57,314.1,315.58,3,3,yellow is of course not ten but
36,336.06,338.42,yellow > green + blue + red,63,337.33,341.55,3,3,"no so when we try purple block, green block both"
37,344.01,348.36,yellow = 50,64,344.01,348.36,3,3,so i feel yellow is fifty
38,366.06,371.16,yellow != 30,68,366.06,371.16,3,2,yellow block's for sure not thirty
39,399.16,402.03,yellow = 50,71,396.69,404.73,3,1,"yellow block must be red block, blue block, purple block right because comparing yellow block to forty yellow block's"
40,431.58,435.75,purple = 30 and yellow = 50,78,432.25,433.84,3,3,yeah and yellow block is fifty
41,33.3,36.23,red = 10,6,33.3,36.24,4,4,I will tell you that the red cube is ten grams
42,81.61,82.96,blue = 10,16,80.79,83.1,4,1,Well the top is a ten
